,SURVEYID,DBN,SCHOOL,DISTRICT,BOROUGH,DATE_OF_TEST,TOTAL_TESTED,TOTAL_STUDENT,TOTAL_EMPLOYEE,PERC_OF_TEST_AVAILABLE,PERC_OF_POSITIVE_LAST_SURRVEY,POSTITVE_IN_LAST_SURVERY,POSITIVE_STUDENT_IN_LAST_SURVEY,POSITIVE_EMPLOYEE_IN_LAST_SURVEY,VOLUME,OVER_THRESHOLD,LAB,TEST_TYPE,DATE_OF_LATEST_REPORTING,AVG_TIME,MAX_TURNAROUND,high,middle,elem,elem2,date,,elem = not middle or high
1,2,10X440,DEWITT CLINTON HIGH SCHOOL,10,Bronx,2020-11-19T00:00:00,9,0,9,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/19/20,,"elem2 = not middle or high and school name includes ""elementary"" or ""PS"""
2,3,06M132,P.S. 132 JUAN PABLO DUARTE,6,Manhattan,2020-11-19T00:00:00,3,0,3,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/19/20,,
3,4,29Q035,P.S. 035 NATHANIEL WOODHULL,29,Queens,2020-11-19T00:00:00,2,0,2,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/19/20,,
4,5,03M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,3,Manhattan,2020-11-19T00:00:00,2,0,2,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,11/19/20,,
5,6,22K240,ANDRIES HUDDE,22,Brooklyn,2020-11-19T00:00:00,1,1,0,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,11/19/20,,
6,8,06M103,DOS PUENTES ELEMENTARY SCHOOL,6,Manhattan,2020-11-19T00:00:00,1,1,0,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/19/20,,
7,9,15K058A,P.S. 058 THE CARROLL,15,Brooklyn,2020-11-18T00:00:00,152,94,58,100%,1%,2,1,1,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
8,10,28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,28,Queens,2020-11-18T00:00:00,135,57,78,99%,2%,3,1,2,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,11/18/20,,
9,12,24Q077,I.S. 077,24,Queens,2020-11-18T00:00:00,128,69,59,100%,1%,1,1,0,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,11/18/20,,
10,13,29Q033,P.S. 033 EDWARD M. FUNK,29,Queens,2020-11-18T00:00:00,121,57,64,98%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
11,14,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HS,28,Queens,2020-11-18T00:00:00,103,29,74,100%,2%,2,0,2,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
12,15,06M103,DOS PUENTES ELEMENTARY SCHOOL,6,Manhattan,2020-11-18T00:00:00,101,65,36,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
13,16,31R044,P.S. 044 THOMAS C. BROWN,31,Staten Island,2020-11-18T00:00:00,99,31,68,100%,2%,2,0,2,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
14,17,07X157,P.S. 157 GROVE HILL,7,Bronx,2020-11-18T00:00:00,98,47,51,100%,1%,1,0,1,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
15,18,24Q485,GROVER CLEVELAND HIGH SCHOOL,24,Queens,2020-11-18T00:00:00,96,19,77,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
16,19,11X068,P.S. 068 BRONX,11,Bronx,2020-11-18T00:00:00,95,35,60,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
17,20,26Q159,P.S. 159,26,Queens,2020-11-18T00:00:00,94,43,51,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
18,21,29Q295,P.S./I.S. 295,29,Queens,2020-11-18T00:00:00,93,47,46,97%,1%,1,0,1,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,11/18/20,,
19,22,02M042,P.S. 042 BENJAMIN ALTMAN,2,Manhattan,2020-11-18T00:00:00,91,33,58,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
